param_key,scope,value,unit,source_type,source_name,source_url,captured_on,used_for,note
ref.nbs_catering_yoy,reference,0.024,比例,权威来源,国家统计局：餐饮收入同比（1—8月）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,餐饮渠道年增速,餐饮+2.4%
ref.nbs_online_goods_yoy,reference,0.043,比例,权威来源,国家统计局：网上商品零售额同比（1—8月）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,线上渠道年增速,网上商品零售额+4.3%
ref.ppi_output_yoy,reference,0.038,比例,权威来源,国家统计局：2026年8月工业生产者出厂价格（PPI）,https://www.stats.gov.cn/sj/zxfb/202609/t20260909_1965262.html,2026-09-15,单位原料成本波动量级,PPI同比+3.8%
ref.ppi_output_mom,reference,0.004,比例,权威来源,国家统计局：2026年8月PPI环比,https://www.stats.gov.cn/sj/zxfb/202609/t20260909_1965262.html,2026-09-15,单位原料成本月度波动,环比+0.4%
ref.ppi_output_ytd,reference,0.02,比例,权威来源,国家统计局：1—8月平均PPI同比,https://www.stats.gov.cn/sj/zxfb/202609/t20260909_1965262.html,2026-09-15,成本年漂移,1—8月平均+2.0%；用作fmcg.cost_drift_annual
ref.ppi_food_yoy,reference,-0.023,比例,权威来源,国家统计局：8月生活资料-食品类PPI同比,https://www.stats.gov.cn/sj/zxfb/202609/t20260909_1965262.html,2026-09-15,食品类单位成本形态,食品类-2.3%
ref.ppi_daily_goods_yoy,reference,-0.008,比例,权威来源,国家统计局：8月生活资料-一般日用品PPI同比,https://www.stats.gov.cn/sj/zxfb/202609/t20260909_1965262.html,2026-09-15,日用品单位成本形态,一般日用品-0.8%
ref.ppi_agriculture_purchase_yoy,reference,-0.005,比例,权威来源,国家统计局：8月农副产品类购进价格同比,https://www.stats.gov.cn/sj/zxfb/202609/t20260909_1965262.html,2026-09-15,原材料成本形态,农副产品类-0.5%
season_factor.m01,ecom+fmcg,0.92,指数,自定参数,自定参数（形态参照国家统计局社零月度序列）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,dim_date.season_factor,春节前月偏低；月度序列未取到（data.stats.gov.cn 返回403），仅以8月同比+0.4%校准量级
season_factor.m02,ecom+fmcg,0.88,指数,自定参数,自定参数（形态参照国家统计局社零月度序列）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,dim_date.season_factor,春节月偏低
season_factor.m03,ecom+fmcg,0.97,指数,自定参数,自定参数（形态参照国家统计局社零月度序列）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,dim_date.season_factor,节后回升
season_factor.m04,ecom+fmcg,0.96,指数,自定参数,自定参数（形态参照国家统计局社零月度序列）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,dim_date.season_factor,淡季
season_factor.m05,ecom+fmcg,1.02,指数,自定参数,自定参数（形态参照国家统计局社零月度序列）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,dim_date.season_factor,大促预热
season_factor.m06,ecom+fmcg,1.12,指数,自定参数,自定参数（形态参照国家统计局社零月度序列）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,dim_date.season_factor,6·18 抬升
season_factor.m07,ecom+fmcg,0.98,指数,自定参数,自定参数（形态参照国家统计局社零月度序列）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,dim_date.season_factor,大促后回落
season_factor.m08,ecom+fmcg,0.97,指数,自定参数,自定参数（形态参照国家统计局社零月度序列）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,dim_date.season_factor,淡季
season_factor.m09,ecom+fmcg,1.0,指数,自定参数,自定参数（形态参照国家统计局社零月度序列）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,dim_date.season_factor,平稳
season_factor.m10,ecom+fmcg,1.06,指数,自定参数,自定参数（形态参照国家统计局社零月度序列）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,dim_date.season_factor,双11预热
season_factor.m11,ecom+fmcg,1.18,指数,自定参数,自定参数（形态参照国家统计局社零月度序列）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,dim_date.season_factor,双11 抬升
season_factor.m12,ecom+fmcg,1.02,指数,自定参数,自定参数（形态参照国家统计局社零月度序列）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,dim_date.season_factor,双12与年末
promo_lift.yearend,ecom+fmcg,2.2,倍率,自定参数,自定参数（大促日相对平日的量级）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,dim_date.promo_lift,年货节（1月中下旬）；平台战报无统一权威口径
promo_lift.618,ecom+fmcg,2.6,倍率,自定参数,自定参数（大促日相对平日的量级）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,dim_date.promo_lift,6·18（6月中旬）；平台战报无统一权威口径
promo_lift.nine_nine,ecom+fmcg,1.4,倍率,自定参数,自定参数（大促日相对平日的量级）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,dim_date.promo_lift,99 大促（9月上旬）
promo_lift.double11,ecom+fmcg,3.2,倍率,自定参数,自定参数（大促日相对平日的量级）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,dim_date.promo_lift,双11（11月上旬至中旬）
promo_lift.double12,ecom+fmcg,1.6,倍率,自定参数,自定参数（大促日相对平日的量级）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,dim_date.promo_lift,双12
weekend_lift.ecom,ecom,1.1,倍率,自定参数,自定参数,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,电商周末效应,无权威来源；仅用于让基线带形状自然
weekend_lift.fmcg,fmcg,1.05,倍率,自定参数,自定参数,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,快消周末效应,无权威来源
ecom.active_combo_rate,ecom,0.55,比例,自定参数,自定参数,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,每日活跃维度组合比例,并非每个客群每天在每个品类都有行为；此值决定fact_ecom_daily行数约100万
ecom.impressions_base,ecom,195,次,自定参数,自定参数,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,活跃组合日曝光中位数,按"订单约160万行"反推
ecom.impressions_sigma,ecom,0.55,对数标准差,自定参数,自定参数,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,曝光长尾分布,让大小组合并存
ecom.ctr_base,ecom,0.052,比例,自定参数,自定参数（行业口径无公开权威来源）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,UV=曝光×CTR,平台级点击率无权威公开披露
ecom.cart_rate_base,ecom,0.24,比例,自定参数,自定参数（行业口径无公开权威来源）,,2026-09-15,加购率,平台转化漏斗无权威公开披露
ecom.order_rate_base,ecom,0.62,比例,自定参数,自定参数（行业口径无公开权威来源）,,2026-09-15,下单率,同上
ecom.pay_success_rate_base,ecom,0.91,比例,自定参数,自定参数（行业口径无公开权威来源）,,2026-09-15,支付成功率,同上；退单与支付失败分开建模
ecom.attach_rate_extra,ecom,0.34,比例,自定参数,自定参数,,2026-09-15,连带率=1+该值,一单多件
ecom.unit_price_median_cents,ecom,8900,分,自定参数,自定参数（量级参考公开行业报道）,,2026-09-15,件单价,89元/件
ecom.unit_price_sigma,ecom,0.42,对数标准差,自定参数,自定参数,,2026-09-15,件单价离散度,品类间价差
ecom.refund_rate,ecom,0.07,比例,自定参数,自定参数,,2026-09-15,退款单占比,退款单计入GMV口径外的refund_cents
ecom.cancel_rate,ecom,0.03,比例,自定参数,自定参数,,2026-09-15,取消单占比,取消单只进orders_created
channel_share.ecom.natural_search,ecom,0.2,比例,自定参数,自定参数,,2026-09-15,渠道结构,案例企业以线上为主，与全国线上渗透率不同口径
channel_share.ecom.paid_ads,ecom,0.3,比例,自定参数,自定参数,,2026-09-15,渠道结构,主归因场景所在渠道
channel_share.ecom.private_domain,ecom,0.1,比例,自定参数,自定参数,,2026-09-15,渠道结构,
channel_share.ecom.livestream,ecom,0.16,比例,自定参数,自定参数,,2026-09-15,渠道结构,
channel_share.ecom.short_video,ecom,0.14,比例,自定参数,自定参数,,2026-09-15,渠道结构,
channel_share.ecom.hypermarket,ecom,0.04,比例,自定参数,自定参数,,2026-09-15,渠道结构,
channel_share.ecom.distributor,ecom,0.04,比例,自定参数,自定参数,,2026-09-15,渠道结构,
channel_share.ecom.catering,ecom,0.02,比例,自定参数,自定参数,,2026-09-15,渠道结构,
channel_share.fmcg.natural_search,fmcg,0.052,比例,派生计算,线上合计=ref.nbs_online_share 在五个线上渠道间分配,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,渠道结构,线上线下比例按国家统计局线上渗透率校准
channel_share.fmcg.paid_ads,fmcg,0.085,比例,派生计算,同上,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,渠道结构,
channel_share.fmcg.private_domain,fmcg,0.03,比例,派生计算,同上,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,渠道结构,
channel_share.fmcg.livestream,fmcg,0.05,比例,派生计算,同上,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,渠道结构,
channel_share.fmcg.short_video,fmcg,0.0396,比例,派生计算,同上,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,渠道结构,五渠道合计=0.2566
channel_share.fmcg.catering,fmcg,0.1141,比例,权威来源,国家统计局：8月餐饮收入占社零比重,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,渠道结构,直接取ref.nbs_catering_share
channel_share.fmcg.hypermarket,fmcg,0.35,比例,自定参数,自定参数（线下残差分配）,,2026-09-15,渠道结构,线下合计=1-0.2566-0.1141=0.6293，在商超与经销商间分配
channel_share.fmcg.distributor,fmcg,0.2793,比例,自定参数,自定参数（线下残差分配）,,2026-09-15,渠道结构,与商超合计0.6293
category_weight.grain_oil,ecom+fmcg,0.2,比例,自定参数,自定参数（量级参照国家统计局限额以上分品类零售额）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,品类结构权重,
category_weight.beverage,ecom+fmcg,0.07,比例,自定参数,自定参数（量级参照国家统计局限额以上分品类零售额）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,品类结构权重,
category_weight.tobacco_liquor,ecom+fmcg,0.06,比例,自定参数,自定参数（量级参照国家统计局限额以上分品类零售额）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,品类结构权重,
category_weight.snack,ecom+fmcg,0.09,比例,自定参数,自定参数（量级参照国家统计局限额以上分品类零售额）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,品类结构权重,
category_weight.dairy,ecom+fmcg,0.08,比例,自定参数,自定参数（量级参照国家统计局限额以上分品类零售额）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,品类结构权重,
category_weight.home_cleaning,ecom+fmcg,0.07,比例,自定参数,自定参数（量级参照国家统计局限额以上分品类零售额）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,品类结构权重,
category_weight.personal_care,ecom+fmcg,0.06,比例,自定参数,自定参数（量级参照国家统计局限额以上分品类零售额）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,品类结构权重,
category_weight.beauty,ecom+fmcg,0.05,比例,自定参数,自定参数（量级参照国家统计局限额以上分品类零售额）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,品类结构权重,
category_weight.apparel,ecom+fmcg,0.1,比例,自定参数,自定参数（量级参照国家统计局限额以上分品类零售额）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,品类结构权重,
category_weight.paper,ecom+fmcg,0.06,比例,自定参数,自定参数（量级参照国家统计局限额以上分品类零售额）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,品类结构权重,
category_weight.appliance,ecom+fmcg,0.1,比例,自定参数,自定参数（量级参照国家统计局限额以上分品类零售额）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,品类结构权重,
category_weight.health,ecom+fmcg,0.06,比例,自定参数,自定参数（量级参照国家统计局限额以上分品类零售额）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,品类结构权重,
category_growth.grain_oil,ecom+fmcg,0.068,比例,权威来源,国家统计局：粮油、食品类零售额同比（1—8月）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,品类年增速,+6.8%
category_growth.beverage,ecom+fmcg,0.055,比例,权威来源,国家统计局：饮料类零售额同比（1—8月）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,品类年增速,+5.5%
category_growth.tobacco_liquor,ecom+fmcg,0.124,比例,权威来源,国家统计局：烟酒类零售额同比（1—8月）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,品类年增速,+12.4%
category_growth.snack,ecom+fmcg,0.068,比例,近似映射,国家统计局：粮油、食品类零售额同比（1—8月）近似映射到休闲食品,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,品类年增速,社零分类无"休闲食品"独立口径；按食品大类形态近似
category_growth.dairy,ecom+fmcg,0.068,比例,近似映射,国家统计局：粮油、食品类零售额同比（1—8月）近似映射到乳制品,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,品类年增速,社零分类无"乳制品"独立口径
category_growth.home_cleaning,ecom+fmcg,0.038,比例,近似映射,国家统计局：日用品类零售额同比（1—8月）近似映射到日化家清,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,品类年增速,+3.8%
category_growth.personal_care,ecom+fmcg,0.061,比例,近似映射,国家统计局：化妆品类零售额同比（1—8月）近似映射到个人护理,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,品类年增速,+6.1%
category_growth.beauty,ecom+fmcg,0.061,比例,权威来源,国家统计局：化妆品类零售额同比（1—8月）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,品类年增速,+6.1%
category_growth.apparel,ecom+fmcg,0.051,比例,权威来源,国家统计局：服装、鞋帽、针纺织品类零售额同比（1—8月）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,品类年增速,+5.1%
category_growth.paper,ecom+fmcg,0.038,比例,近似映射,国家统计局：日用品类零售额同比（1—8月）近似映射到家用纸品,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,品类年增速,+3.8%
category_growth.appliance,ecom+fmcg,-0.056,比例,近似映射,国家统计局：家用电器和音像器材类零售额同比（1—8月）近似映射到家电厨具,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,品类年增速,家电类-5.6%
category_growth.health,ecom+fmcg,0.039,比例,近似映射,国家统计局：中西药品类零售额同比（1—8月）近似映射到保健营养,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,品类年增速,+3.9%
channel_growth.natural_search,ecom+fmcg,0.043,比例,权威来源,国家统计局：网上商品零售额同比（1—8月）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,渠道年增速,线上渠道统一取+4.3%
channel_growth.paid_ads,ecom+fmcg,0.043,比例,权威来源,同上,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,渠道年增速,
channel_growth.private_domain,ecom+fmcg,0.043,比例,权威来源,同上,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,渠道年增速,
channel_growth.livestream,ecom+fmcg,0.043,比例,权威来源,同上,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,渠道年增速,
channel_growth.short_video,ecom+fmcg,0.043,比例,权威来源,同上,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,渠道年增速,
channel_growth.hypermarket,ecom+fmcg,0.0465,比例,派生计算,ref.nbs_store_convenience_yoy 与 ref.nbs_store_supermarket_yoy 的均值,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,渠道年增速,(5.5%+3.8%)/2=4.65%
channel_growth.distributor,ecom+fmcg,-0.06,比例,派生计算,ref.nbs_store_specialty_yoy 与 ref.nbs_store_exclusive_yoy 的均值,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,渠道年增速,(-2.2%-10.0%)/2=-6.1%，取-6.0%
channel_growth.catering,ecom+fmcg,0.024,比例,权威来源,国家统计局：餐饮收入同比（1—8月）,https://www.stats.gov.cn/sj/zxfb/202609/t20260915_1965311.html,2026-09-15,渠道年增速,餐饮+2.4%
region_weight.east,ecom+fmcg,0.3,比例,自定参数,自定参数（无线权威口径）,,2026-09-15,区域结构权重,华东
region_weight.south,ecom+fmcg,0.18,比例,自定参数,自定参数（无线权威口径）,,2026-09-15,区域结构权重,华南
region_weight.north,ecom+fmcg,0.15,比例,自定参数,自定参数（无线权威口径）,,2026-09-15,区域结构权重,华北
region_weight.central,ecom+fmcg,0.13,比例,自定参数,自定参数（无线权威口径）,,2026-09-15,区域结构权重,华中
region_weight.southwest,ecom+fmcg,0.1,比例,自定参数,自定参数（无线权威口径）,,2026-09-15,区域结构权重,西南
region_weight.northwest,ecom+fmcg,0.07,比例,自定参数,自定参数（无线权威口径）,,2026-09-15,区域结构权重,西北
region_weight.northeast,ecom+fmcg,0.07,比例,自定参数,自定参数（无线权威口径）,,2026-09-15,区域结构权重,东北
segment_weight.new,ecom+fmcg,0.22,比例,自定参数,自定参数（客群口径无权威来源）,,2026-09-15,客群结构权重,新客
segment_weight.high_value,ecom+fmcg,0.28,比例,自定参数,自定参数（客群口径无权威来源）,,2026-09-15,客群结构权重,高价值老客
segment_weight.price_sensitive,ecom+fmcg,0.24,比例,自定参数,自定参数（客群口径无权威来源）,,2026-09-15,客群结构权重,价格敏感
segment_weight.dormant,ecom+fmcg,0.14,比例,自定参数,自定参数（客群口径无权威来源）,,2026-09-15,客群结构权重,沉默召回
segment_weight.enterprise,ecom+fmcg,0.12,比例,自定参数,自定参数（客群口径无权威来源）,,2026-09-15,客群结构权重,企业客户
category_price.grain_oil,ecom+fmcg,4990,分,自定参数,自定参数（量级参考公开零售价）,,2026-09-15,SKU标准售价,49.9元/件
category_price.beverage,ecom+fmcg,690,分,自定参数,自定参数（量级参考公开零售价）,,2026-09-15,SKU标准售价,6.9元/件
category_price.tobacco_liquor,ecom+fmcg,12800,分,自定参数,自定参数（量级参考公开零售价）,,2026-09-15,SKU标准售价,128元/件
category_price.snack,ecom+fmcg,1590,分,自定参数,自定参数（量级参考公开零售价）,,2026-09-15,SKU标准售价,15.9元/件
category_price.dairy,ecom+fmcg,3290,分,自定参数,自定参数（量级参考公开零售价）,,2026-09-15,SKU标准售价,32.9元/件
category_price.home_cleaning,ecom+fmcg,2690,分,自定参数,自定参数（量级参考公开零售价）,,2026-09-15,SKU标准售价,26.9元/件
category_price.personal_care,ecom+fmcg,3590,分,自定参数,自定参数（量级参考公开零售价）,,2026-09-15,SKU标准售价,35.9元/件
category_price.beauty,ecom+fmcg,9900,分,自定参数,自定参数（量级参考公开零售价）,,2026-09-15,SKU标准售价,99元/件
category_price.apparel,ecom+fmcg,19900,分,自定参数,自定参数（量级参考公开零售价）,,2026-09-15,SKU标准售价,199元/件
category_price.paper,ecom+fmcg,1990,分,自定参数,自定参数（量级参考公开零售价）,,2026-09-15,SKU标准售价,19.9元/件
category_price.appliance,ecom+fmcg,45900,分,自定参数,自定参数（量级参考公开零售价）,,2026-09-15,SKU标准售价,459元/件
category_price.health,ecom+fmcg,12900,分,自定参数,自定参数（量级参考公开零售价）,,2026-09-15,SKU标准售价,129元/件
category_gross_margin.grain_oil,ecom+fmcg,0.28,比例,自定参数,自定参数（量级参照快消行业毛利率区间）,,2026-09-15,原料成本占售价比例,成本=售价×(1-毛利率)
category_gross_margin.beverage,ecom+fmcg,0.42,比例,自定参数,自定参数（量级参照快消行业毛利率区间）,,2026-09-15,原料成本占售价比例,
category_gross_margin.tobacco_liquor,ecom+fmcg,0.55,比例,自定参数,自定参数（量级参照快消行业毛利率区间）,,2026-09-15,原料成本占售价比例,
category_gross_margin.snack,ecom+fmcg,0.38,比例,自定参数,自定参数（量级参照快消行业毛利率区间）,,2026-09-15,原料成本占售价比例,
category_gross_margin.dairy,ecom+fmcg,0.32,比例,自定参数,自定参数（量级参照快消行业毛利率区间）,,2026-09-15,原料成本占售价比例,
category_gross_margin.home_cleaning,ecom+fmcg,0.35,比例,自定参数,自定参数（量级参照快消行业毛利率区间）,,2026-09-15,原料成本占售价比例,
category_gross_margin.personal_care,ecom+fmcg,0.44,比例,自定参数,自定参数（量级参照快消行业毛利率区间）,,2026-09-15,原料成本占售价比例,
category_gross_margin.beauty,ecom+fmcg,0.52,比例,自定参数,自定参数（量级参照快消行业毛利率区间）,,2026-09-15,原料成本占售价比例,
category_gross_margin.apparel,ecom+fmcg,0.48,比例,自定参数,自定参数（量级参照快消行业毛利率区间）,,2026-09-15,原料成本占售价比例,
category_gross_margin.paper,ecom+fmcg,0.3,比例,自定参数,自定参数（量级参照快消行业毛利率区间）,,2026-09-15,原料成本占售价比例,
category_gross_margin.appliance,ecom+fmcg,0.22,比例,自定参数,自定参数（量级参照快消行业毛利率区间）,,2026-09-15,原料成本占售价比例,
category_gross_margin.health,ecom+fmcg,0.5,比例,自定参数,自定参数（量级参照快消行业毛利率区间）,,2026-09-15,原料成本占售价比例,
fmcg.units_base,fmcg,18,件,自定参数,自定参数,,2026-09-15,组合日销量中位数,按日产销量约4万件量级设定
fmcg.units_sigma,fmcg,0.5,对数标准差,自定参数,自定参数,,2026-09-15,销量离散度,
fmcg.logistics_per_unit_cents,fmcg,420,分/件,自定参数,自定参数（量级参照国家邮政局快递单票均价）,https://www.spb.gov.cn/,2026-09-15,物流履约成本,国家邮政局单票均价为全国含末端配送口径，品牌方出厂物流分摊低于该值；未取到结构化月度序列
fmcg.commission_rate_online,fmcg,0.055,比例,自定参数,自定参数（平台佣金率无权威公开披露）,,2026-09-15,渠道佣金率,线上渠道计佣
fmcg.commission_rate_offline,fmcg,0.0,比例,自定参数,自定参数,,2026-09-15,渠道佣金率,线下渠道不计佣
fmcg.other_cost_ratio,fmcg,0.05,比例,自定参数,自定参数,,2026-09-15,其他成本占营收比,
fmcg.cost_drift_annual,fmcg,0.02,比例,权威来源,国家统计局：1—8月平均PPI同比（出厂价）,https://www.stats.gov.cn/sj/zxfb/202609/t20260909_1965262.html,2026-09-15,单位原料成本年漂移,取+2.0%；食品类PPI为-2.3%仅作形态参照
region_logistics_factor.east,ecom+fmcg,0.9,系数,自定参数,自定参数（区域物流成本形态）,,2026-09-15,物流履约成本区域系数,华东仓配一体，成本低于全国均值
region_logistics_factor.south,ecom+fmcg,1.1,系数,自定参数,自定参数（区域物流成本形态）,,2026-09-15,物流履约成本区域系数,
region_logistics_factor.north,ecom+fmcg,1.0,系数,自定参数,自定参数（区域物流成本形态）,,2026-09-15,物流履约成本区域系数,基准
region_logistics_factor.central,ecom+fmcg,1.0,系数,自定参数,自定参数（区域物流成本形态）,,2026-09-15,物流履约成本区域系数,基准
region_logistics_factor.southwest,ecom+fmcg,1.1,系数,自定参数,自定参数（区域物流成本形态）,,2026-09-15,物流履约成本区域系数,
region_logistics_factor.northwest,ecom+fmcg,1.25,系数,自定参数,自定参数（区域物流成本形态）,,2026-09-15,物流履约成本区域系数,距离与网点密度导致的偏高
region_logistics_factor.northeast,ecom+fmcg,1.25,系数,自定参数,自定参数（区域物流成本形态）,,2026-09-15,物流履约成本区域系数,同上
